,cord_uid,affiliations,location
0,xqhn0vbp,,
1,gi6uaa83,Todd R Disotell (New York University ; 25 Waverly Place ; 10003 ; New York ; NY ; USA),25 Waverly Place ; 10003 ; New York ; NY ; USA
2,le0ogx1s,,
3,fy4w7xz8,,
4,0qaoam29,,
5,qj4dh6rg,,
6,1wswi7us,"Yee Leng Yap ; Xue Wu Zhang ; Antoine Danchin (75724, Cedex 15 ; Paris ; France)","  ;   ; 75724, Cedex 15 ; Paris ; France"
7,yy96yeu9,David Wang (University of California San Francisco ; San Francisco ; California ; United States of America) ; Anatoly Urisman (University of California San Francisco ; San Francisco ; California ; United States of America) ; Yu-Tsueng Liu (University of California San Francisco ; San Francisco ; California) ; Michael Springer (University of California San Francisco ; San Francisco ; California ; United States of America) ; Thomas G Ksiazek (United States of America ; Atlanta ; Georgia) ; Dean D Erdman (United States of America ; Atlanta ; Georgia) ; Elaine R Mardis (Washington University School of Medicine ; St. Louis ; Missouri ; United States of America) ; Matthew Hickenbotham (Washington University School of Medicine ; St. Louis ; Missouri ; United States of America) ; Vincent Magrini (Washington University School of Medicine ; St. Louis ; Missouri ; United States of America) ; James Eldred (Washington University School of Medicine ; St. Louis ; Missouri ; United States of America) ; J Phillipe Latreille (Washington University School of Medicine ; St. Louis ; Missouri ; United States of America) ; Richard K Wilson (Washington University School of Medicine ; St. Louis ; Missouri ; United States of America) ; Don Ganem (University of California San Francisco ; San Francisco ; California) ; Joseph L Derisi (University of California San Francisco ; San Francisco ; California ; United States of America),San Francisco ; California ; United States of America ; San Francisco ; California ; United States of America ; San Francisco ; California ; San Francisco ; California ; United States of America ; Atlanta ; Georgia ; Atlanta ; Georgia ; St. Louis ; Missouri ; United States of America ; St. Louis ; Missouri ; United States of America ; St. Louis ; Missouri ; United States of America ; St. Louis ; Missouri ; United States of America ; St. Louis ; Missouri ; United States of America ; St. Louis ; Missouri ; United States of America ; San Francisco ; California ; San Francisco ; California ; United States of America
8,5o38ihe0,,
9,1ul8owic,,
10,5s6acr7m,,
11,tvxpckxo,Julia W Pridgeon (Auburn University ; 331 Funchess Hall ; 36849 ; Auburn ; AL ; USA) ; Thangiah Geetha (Auburn University ; 331 Funchess Hall ; 36849 ; Auburn ; AL ; USA) ; Marie W Wooten (Auburn University ; 331 Funchess Hall ; 36849 ; Auburn ; AL ; USA),331 Funchess Hall ; 36849 ; Auburn ; AL ; USA ; 331 Funchess Hall ; 36849 ; Auburn ; AL ; USA ; 331 Funchess Hall ; 36849 ; Auburn ; AL ; USA
12,ri5v6u4x,Maged N Kamel Boulos ; Email : Maged ; Kamel Boulos ; -M N K Ac Boulos@bath ;  Uk,  ;   ;   ;   ;  
13,kuybfc1y,Maged N Kamel Boulos (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ; Email : Maged (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ; Kamel Boulos (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ; -M N K Ac Boulos@bath (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ;  Uk (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK),Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK
14,ng4rrdte,"Charles D Gomersall (Prince of Wales Hospital ; Shatin, Hong Kong) ; Marcus J Kargel (University of Toronto ; Toronto ; Ontario ; Canada) ; Stephen E Lapinsky (University of Toronto ; Toronto ; Ontario ; Canada)","Shatin, Hong Kong ; Toronto ; Ontario ; Canada ; Toronto ; Ontario ; Canada"
15,1769ovyk,,
16,tixxm78q,"Jonathan Ball (St George's Hospital ; London, Correspondence: Jonathan Ball ; UK)","London, Correspondence: Jonathan Ball ; UK"
17,pwsvhitd,,
18,wt8zfqk0,M Gordana ;  Pavlović-Lažetić (University of Belgrade ; Studentski trg 16 ; P.O.B. 550 ; 11001 ; Belgrade ; Serbia and Montenegro) ; Nenad S Mitić (University of Belgrade ; Studentski trg 16 ; P.O.B. 550 ; 11001 ; Belgrade ; Serbia and Montenegro) ; Miloš V Beljanski,  ; Studentski trg 16 ; P.O.B. 550 ; 11001 ; Belgrade ; Serbia and Montenegro ; Studentski trg 16 ; P.O.B. 550 ; 11001 ; Belgrade ; Serbia and Montenegro ;  
19,5gsbtfag,,
20,fpj5urao,,
21,wutnzzhg,,
22,lwla5ugt,"Ryan Brodie (University of Victoria ; Victoria ; B.C., V8W 3P6 ; Canada) ; Alex J Smith (University of Victoria ; Victoria ; B.C., V8W 3P6 ; Canada) ; Rachel L Roper (East Carolina University ; 27858-4354 ; Brody, Greenville ; NC ; USA) ; Vasily Tcherepanov (University of Victoria ; Victoria ; B.C., V8W 3P6 ; Canada) ; Chris Upton (University of Victoria ; Victoria ; B.C., V8W 3P6 ; Canada)","Victoria ; B.C., V8W 3P6 ; Canada ; Victoria ; B.C., V8W 3P6 ; Canada ; 27858-4354 ; Brody, Greenville ; NC ; USA ; Victoria ; B.C., V8W 3P6 ; Canada ; Victoria ; B.C., V8W 3P6 ; Canada"
23,8zwsi4nk,,
24,t20z4mtt,,
25,0gmtnkbh,,
26,rrhh2alf,,
27,sgmk96vr,,
28,1ke7i2wr,,
29,v95fzp8n,,
30,52vixim5,Paula Chidwick ;  †1 (University of Toronto ; Ontario ; Canada) ; Karen Faith (University of Toronto ; Ontario ; Canada) ; Dianne Godkin (University of Toronto ; Ontario ; Canada) ; Laurie Hardingham (University of Western Ontario ; London ; Ontario),  ; Ontario ; Canada ; Ontario ; Canada ; Ontario ; Canada ; London ; Ontario
31,47ema2dq,,
32,jzj8q25c,,
33,qg0fsliy,,
34,p7um7o87,Michael P Robertson (University of California ; Santa Cruz ; California ; United States of America) ; Haller Igel (University of California ; Santa Cruz ; California ; United States of America) ; Robert Baertsch (University of California ; Santa Cruz ; California ; United States of America) ; David Haussler (University of California ; Santa Cruz ; California ; United States of America) ; Manuel Ares (University of California ; Santa Cruz ; California ; United States of America) ; William G Scott (University of California ; Santa Cruz ; California ; United States of America),Santa Cruz ; California ; United States of America ; Santa Cruz ; California ; United States of America ; Santa Cruz ; California ; United States of America ; Santa Cruz ; California ; United States of America ; Santa Cruz ; California ; United States of America ; Santa Cruz ; California ; United States of America
35,xvi5miqw,Jennifer Ah Bell (University of Toronto ; Toronto ; Canada) ; Sylvia Hyland (University of Toronto ; Toronto ; Canada) ; Tania Depellegrin (University of Toronto ; Toronto ; Canada) ; Ross Eg Upshur (University of Toronto ; Toronto ; Canada) ; Mark Bernstein (University of Toronto ; Toronto ; Canada) ; Douglas K Martin (University of Toronto ; Toronto ; Canada),Toronto ; Canada ; Toronto ; Canada ; Toronto ; Canada ; Toronto ; Canada ; Toronto ; Canada ; Toronto ; Canada
36,1i36lsj2,,
37,4k8f7ou1,,
38,mtmgur1u,,
39,gdsfkw1b,,
40,0s6ort9f,,
41,zl5lgcog,,
42,2su7oqbz,Joacim Elm E En ; Hå Kan Thonberg ; Karl Ljungberg (Swedish Institute for Infectious Disease Control ; 171 82 ; Solna ; Sweden) ; Miriam Frieden (Santaris Pharma A/S ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark) ; Majken Westergaard (Santaris Pharma A/S ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark) ; Yunhe Xu ; Britta Wahren (Swedish Institute for Infectious Disease Control ; 171 82 ; Solna ; Sweden) ; Zicai Liang ; Henrik Ørum (Santaris Pharma A/S ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark) ; Troels Koch (Santaris Pharma A/S ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark) ; Claes Wahlestedt,  ;   ; 171 82 ; Solna ; Sweden ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark ;   ; 171 82 ; Solna ; Sweden ;   ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark ; Bøge all e e 3 ; DK-2970 ; Hørsholm ; Denmark ;  
43,yba7mdtb,Christine Dufraigne ; Bernard Fertil ; Sylvain Lespinats ; Alain Giron ; Patrick Deschavanne,  ;   ;   ;   ;  
44,ic4d9dhk,,
45,jh9e85c0,,
46,7vi6skvh,Douglas Horejsh (National Institute for Infectious Diseases 'Lazzaro Spallanzani'-IRCCS ; Rome ; Italy) ; Federico Martini (National Institute for Infectious Diseases 'Lazzaro Spallanzani'-IRCCS ; Rome ; Italy) ; Fabrizio Poccia (National Institute for Infectious Diseases 'Lazzaro Spallanzani'-IRCCS ; Rome ; Italy) ; Giuseppe Ippolito (National Institute for Infectious Diseases 'Lazzaro Spallanzani'-IRCCS ; Rome ; Italy) ; Antonino Di Caro (National Institute for Infectious Diseases 'Lazzaro Spallanzani'-IRCCS ; Rome ; Italy) ; Maria R Capobianchi (National Institute for Infectious Diseases 'Lazzaro Spallanzani'-IRCCS ; Rome ; Italy),Rome ; Italy ; Rome ; Italy ; Rome ; Italy ; Rome ; Italy ; Rome ; Italy ; Rome ; Italy
47,efrv5nvf,,
48,xtg0e142,,
49,bbvxu8op,Mazen W Karaman ; Susan Groshen (University of Southern California ; 90089 ; Los Angeles ; CA ; USA) ; Chi-Chiang Lee ; Brian L Pike ; Joseph G Hacia,  ; 90089 ; Los Angeles ; CA ; USA ;   ;   ;  
50,e6e5nvn9,,
51,lgcmamfb,,
52,4u2re1cu,"Jianjun Liu (Genome Institute of Singapore ; Singapore, Singapore) ; Lan Siew ;  Lim (Genome Institute of Singapore ; Singapore, Singapore) ; Yijun Ruan (Genome Institute of Singapore ; Singapore, Singapore) ; Ai Ee Ling (Genome Institute of Singapore ; Singapore, Singapore) ; Lisa F P Ng ; Christian Drosten (National Reference Center for Tropical Infectious Diseases ; Hamburg ; Germany, Canada) ; Edison T Liu (Genome Institute of Singapore ; Singapore, Singapore) ; Lawrence W Stanton (Genome Institute of Singapore ; Singapore, Singapore) ; Martin L Hibberd (Genome Institute of Singapore ; Singapore, Singapore)","Singapore, Singapore ;   ; Singapore, Singapore ; Singapore, Singapore ; Singapore, Singapore ;   ; Hamburg ; Germany, Canada ; Singapore, Singapore ; Singapore, Singapore ; Singapore, Singapore"
53,e62cfqt7,Hu Zhu (Nanjing Medical University ; 210029 ; Nanjing ; China) ; Hsiao Chang Chan (The Chinese University of Hong Kong ; Hong Kong) ; Zuoming Zhou (Nanjing Medical University ; 210029 ; Nanjing ; China) ; Jianming Li (Nanjing Medical University ; 210029 ; Nanjing ; China) ; Hui Zhu (Nanjing Medical University ; 210029 ; Nanjing ; China) ; Lanlan Yin (Nanjing Medical University ; 210029 ; Nanjing ; China) ; Ming Xu (Nanjing Medical University ; 210029 ; Nanjing ; China) ; Lijun Cheng (Nanjing Medical University ; 210029 ; Nanjing ; China) ; Jiahao Sha (Nanjing Medical University ; 210029 ; Nanjing ; China),210029 ; Nanjing ; China ; Hong Kong ; 210029 ; Nanjing ; China ; 210029 ; Nanjing ; China ; 210029 ; Nanjing ; China ; 210029 ; Nanjing ; China ; 210029 ; Nanjing ; China ; 210029 ; Nanjing ; China ; 210029 ; Nanjing ; China
54,04cuk2cn,,
55,mvxz7lx7,,
56,m9rg6d3w,,
57,89xnnvuv,,
58,zowp10ts,"Remy Froissart (Institut National de la Recherche Agronomique (INRA)-Ecole National Supérieure Agronomique de Montpellier (ENSAM) ; TA 41/K, Campus International de Baillarguet ; Montpellier ; France) ; Denis Roze (Unité Mixte de Recherche Centre National de la Recherche Scientifique (CNRS ; Montpellier ; France) ; Marilyne Uzest (Institut National de la Recherche Agronomique (INRA)-Ecole National Supérieure Agronomique de Montpellier (ENSAM) ; TA 41/K, Campus International de Baillarguet ; Montpellier ; France) ; Lionel Galibert (Institut National de la Recherche Agronomique (INRA)-Ecole National Supérieure Agronomique de Montpellier (ENSAM) ; TA 41/K, Campus International de Baillarguet ; Montpellier ; France) ; Stephane Blanc (Institut National de la Recherche Agronomique (INRA)-Ecole National Supérieure Agronomique de Montpellier (ENSAM) ; TA 41/K, Campus International de Baillarguet ; Montpellier ; France) ; Yannis Michalakis (Unité Mixte de Recherche Centre National de la Recherche Scientifique (CNRS ; Montpellier ; France)","TA 41/K, Campus International de Baillarguet ; Montpellier ; France ; Montpellier ; France ; TA 41/K, Campus International de Baillarguet ; Montpellier ; France ; TA 41/K, Campus International de Baillarguet ; Montpellier ; France ; TA 41/K, Campus International de Baillarguet ; Montpellier ; France ; Montpellier ; France"
59,i4pmux28,,
60,jw1lxwyd,,
61,xiv9vxdp,,
62,mcfmxqp2,,
63,snqdma0s,Brock F Binkowski ; Kathryn E Richmond ; James Kaysen ; Michael R Sussman ; Peter J Belshaw,  ;   ;   ;   ;  
64,402ls2aq,Daiji Endoh ; Tetsuya Mizutani (National Institute of Infectious Diseases ; 208-0011 ; Musashimurayama ; Japan) ; Rikio Kirisawa (Rakuno Gakuen University ; 069-8501 ; Ebetsu ; Japan) ; Yoshiyuki Maki (Sigma-Aldrich Japan ; 061-3241 ; Ishikari ; Japan) ; Hidetoshi Saito (Sigma-Aldrich Japan ; 061-3241 ; Ishikari ; Japan) ; Yasuhiro Kon (Hokkaido University ; 060-0818 ; Sapporo ; Japan) ; Shigeru Morikawa (National Institute of Infectious Diseases ; 208-0011 ; Musashimurayama ; Japan) ; Masanobu Hayashi,  ; 208-0011 ; Musashimurayama ; Japan ; 069-8501 ; Ebetsu ; Japan ; 061-3241 ; Ishikari ; Japan ; 061-3241 ; Ishikari ; Japan ; 060-0818 ; Sapporo ; Japan ; 208-0011 ; Musashimurayama ; Japan ;  
65,4mnaicki,William T Jackson (Stanford University ; Stanford ; California ; United States of America) ; Thomas H Giddings (University of Colorado ; Boulder ; Colorado ; United States of America) ; Matthew P Taylor (Stanford University ; Stanford ; California ; United States of America) ; Sara Mulinyawe (Stanford University ; Stanford ; California) ; Marlene Rabinovitch (Stanford University ; Stanford ; California ; United States of America) ; Ron R Kopito (Stanford University ; Stanford ; California) ; Karla Kirkegaard (Stanford University ; Stanford ; California ; United States of America),Stanford ; California ; United States of America ; Boulder ; Colorado ; United States of America ; Stanford ; California ; United States of America ; Stanford ; California ; Stanford ; California ; United States of America ; Stanford ; California ; Stanford ; California ; United States of America
66,ztkjm79p,,
67,0fitbwuv,,
68,oad4l4fa,Mark J Gibbs (Australian National University ; ACT 0200 ; Australia) ; John S Armstrong (Australian National University ; ACT 0200 ; Australia) ; Adrian J Gibbs (Australian National University ; ACT 0200 ; Australia),ACT 0200 ; Australia ; ACT 0200 ; Australia ; ACT 0200 ; Australia
69,6vcts4w3,,
70,a22s8xyz,"Ewan P Plant (University of Maryland ; College Park, Maryland ; United States of America) ; Gabriela C Pé Rez-Alvarado (The Scripps Research Institute ; La Jolla ; California ; United States of America) ; Jonathan L Jacobs (University of Maryland ; College Park, Maryland ; United States of America) ; Bani Mukhopadhyay (University of Maryland ; College Park, Maryland ; United States of America) ; Mirko Hennig (The Scripps Research Institute ; La Jolla ; California ; United States of America) ; Jonathan D Dinman (University of Maryland ; College Park, Maryland ; United States of America)","College Park, Maryland ; United States of America ; La Jolla ; California ; United States of America ; College Park, Maryland ; United States of America ; College Park, Maryland ; United States of America ; La Jolla ; California ; United States of America ; College Park, Maryland ; United States of America"
71,azkamnpa,,
72,r8j6lhoc,,
73,0svscbpu,,
74,0brhn8oc,David W Staple (University of Wisconsin-Madison ; Madison ; Wisconsin) ; Samuel E Butcher (University of Wisconsin-Madison ; Madison ; Wisconsin),Madison ; Wisconsin ; Madison ; Wisconsin
75,tv1fx7sy,Daniel Shegogue (Medical University of South Carolina ; 135 Cannon Street ; 29425 ; Charleston ; SC ; USA) ; Jim Zheng (Medical University of South Carolina ; 135 Cannon Street ; 29425 ; Charleston ; SC ; USA),135 Cannon Street ; 29425 ; Charleston ; SC ; USA ; 135 Cannon Street ; 29425 ; Charleston ; SC ; USA
76,ckby80vf,,
77,jz61fxpn,,
78,ln8ddyuj,,
79,y0wf456f,,
80,x8zdlml2,Bernard Fertil ; Matthieu Massin ; Sylvain Lespinats ; Caroline Devic ; Philippe Dumee ; Alain Giron,  ;   ;   ;   ;   ;  
